zip,rep_code,rep_full,rep_label
39135,BNA,Barry,BNA (Barry)
39136,BNA,Barry,BNA (Barry)
39137,BNA,Barry,BNA (Barry)
39138,BNA,Barry,BNA (Barry)
39139,BNA,Barry,BNA (Barry)
39140,BNA,Barry,BNA (Barry)
39141,BNA,Barry,BNA (Barry)
39142,BNA,Barry,BNA (Barry)
39143,BNA,Barry,BNA (Barry)
39144,BNA,Barry,BNA (Barry)
39145,BNA,Barry,BNA (Barry)
39146,BNA,Barry,BNA (Barry)
39147,BNA,Barry,BNA (Barry)
39148,BNA,Barry,BNA (Barry)
39149,BNA,Barry,BNA (Barry)
39150,BNA,Barry,BNA (Barry)
39151,BNA,Barry,BNA (Barry)
39152,BNA,Barry,BNA (Barry)
39153,BNA,Barry,BNA (Barry)
39154,BNA,Barry,BNA (Barry)
39155,BNA,Barry,BNA (Barry)
39156,BNA,Barry,BNA (Barry)
39157,BNA,Barry,BNA (Barry)
39158,BNA,Barry,BNA (Barry)
39159,BNA,Barry,BNA (Barry)
39160,DA,Dylan,DA (Dylan)
39161,BNA,Barry,BNA (Barry)
39162,BNA,Barry,BNA (Barry)
39163,BNA,Barry,BNA (Barry)
39164,BNA,Barry,BNA (Barry)
39165,BNA,Barry,BNA (Barry)
39166,DA,Dylan,DA (Dylan)
39167,BNA,Barry,BNA (Barry)
39168,BNA,Barry,BNA (Barry)
39169,DA,Dylan,DA (Dylan)
39170,BNA,Barry,BNA (Barry)
39171,BNA,Barry,BNA (Barry)
39172,BNA,Barry,BNA (Barry)
39173,BNA,Barry,BNA (Barry)
39174,BNA,Barry,BNA (Barry)
39175,BNA,Barry,BNA (Barry)
39176,DA,Dylan,DA (Dylan)
39177,BNA,Barry,BNA (Barry)
39178,BNA,Barry,BNA (Barry)
39179,BNA,Barry,BNA (Barry)
39180,BNA,Barry,BNA (Barry)
39181,BNA,Barry,BNA (Barry)
39182,BNA,Barry,BNA (Barry)
39183,BNA,Barry,BNA (Barry)
39184,BNA,Barry,BNA (Barry)
39185,BNA,Barry,BNA (Barry)
39186,BNA,Barry,BNA (Barry)
39187,BNA,Barry,BNA (Barry)
39188,BNA,Barry,BNA (Barry)
39189,BNA,Barry,BNA (Barry)
39190,BNA,Barry,BNA (Barry)
39191,BNA,Barry,BNA (Barry)
39192,DA,Dylan,DA (Dylan)
39193,BNA,Barry,BNA (Barry)
39194,BNA,Barry,BNA (Barry)
39195,BNA,Barry,BNA (Barry)
39196,BNA,Barry,BNA (Barry)
39197,BNA,Barry,BNA (Barry)
39198,BNA,Barry,BNA (Barry)
39199,BNA,Barry,BNA (Barry)
39200,BNA,Barry,BNA (Barry)
39201,BNA,Barry,BNA (Barry)
39202,BNA,Barry,BNA (Barry)
39203,BNA,Barry,BNA (Barry)
39204,BNA,Barry,BNA (Barry)
39205,BNA,Barry,BNA (Barry)
39206,BNA,Barry,BNA (Barry)
39207,BNA,Barry,BNA (Barry)
39208,BNA,Barry,BNA (Barry)
39209,BNA,Barry,BNA (Barry)
39210,BNA,Barry,BNA (Barry)
39211,BNA,Barry,BNA (Barry)
39212,BNA,Barry,BNA (Barry)
39213,BNA,Barry,BNA (Barry)
39214,BNA,Barry,BNA (Barry)
39215,BNA,Barry,BNA (Barry)
39216,BNA,Barry,BNA (Barry)
39217,BNA,Barry,BNA (Barry)
39218,BNA,Barry,BNA (Barry)
39219,BNA,Barry,BNA (Barry)
39220,BNA,Barry,BNA (Barry)
39221,BNA,Barry,BNA (Barry)
39222,BNA,Barry,BNA (Barry)
39223,BNA,Barry,BNA (Barry)
39224,BNA,Barry,BNA (Barry)
39225,BNA,Barry,BNA (Barry)
39226,BNA,Barry,BNA (Barry)
39227,BNA,Barry,BNA (Barry)
39228,BNA,Barry,BNA (Barry)
39229,BNA,Barry,BNA (Barry)
39230,BNA,Barry,BNA (Barry)
39231,BNA,Barry,BNA (Barry)
39232,BNA,Barry,BNA (Barry)
39233,BNA,Barry,BNA (Barry)
39234,BNA,Barry,BNA (Barry)
39235,BNA,Barry,BNA (Barry)
39236,BNA,Barry,BNA (Barry)
39237,BNA,Barry,BNA (Barry)
39238,BNA,Barry,BNA (Barry)
39239,BNA,Barry,BNA (Barry)
39240,BNA,Barry,BNA (Barry)
39241,BNA,Barry,BNA (Barry)
39242,BNA,Barry,BNA (Barry)
39243,BNA,Barry,BNA (Barry)
39244,BNA,Barry,BNA (Barry)
39245,BNA,Barry,BNA (Barry)
39246,BNA,Barry,BNA (Barry)
39247,BNA,Barry,BNA (Barry)
39248,BNA,Barry,BNA (Barry)
39249,BNA,Barry,BNA (Barry)
39250,BNA,Barry,BNA (Barry)
39251,BNA,Barry,BNA (Barry)
39252,BNA,Barry,BNA (Barry)
39253,BNA,Barry,BNA (Barry)
39254,BNA,Barry,BNA (Barry)
39255,BNA,Barry,BNA (Barry)
39256,BNA,Barry,BNA (Barry)
39257,BNA,Barry,BNA (Barry)
39258,BNA,Barry,BNA (Barry)
39259,BNA,Barry,BNA (Barry)
39260,BNA,Barry,BNA (Barry)
39261,BNA,Barry,BNA (Barry)
